"LET (MeV-cm2/g)"	"Integral Flux (particles/m2-s-sr)"
67587.4	0.00020749
68375.7	0.00019978
69173.3	0.00019148
69980.1	0.00018346
70796.4	0.00017528
71622.2	0.00016651
72457.6	0.00015886
73302.7	0.00015092
74157.8	0.00014287
75022.7	0.00013571
75897.8	0.00012844
76783.1	0.00012143
77678.7	0.00011446
78584.8	0.00010717
79501.4	0.00010027
80428.7	9.2997e-05
81366.8	8.5792e-05
82315.9	7.833e-05
83276.1	7.0335e-05
84247.4	6.2166e-05
85230.1	5.2418e-05
86224.2	4.2997e-05
87229.9	3.3406e-05
88247.4	2.6616e-05
89276.7	2.1302e-05
90318.1	1.5653e-05
91371.5	8.2483e-06
92437.3	1.1449e-06
93515.5	6.239e-07
94606.3	5.6595e-07
95709.8	5.0669e-07
96826.2	4.4247e-07
97955.6	3.7021e-07
99098.1	2.8318e-07
100254	1.5536e-07
101423	2.1749e-10
